nr, Score
532,210.0
533,530.0
534,575.0
535,800.0
536,330.0
537,865.0
538,475.0
539,425.0
540,745.0
541,475.0
542,455.0
543,390.0
544,470.0
545,600.0
546,470.0
547,205.0
548,575.0
549,580.0
550,495.0
551,600.0
552,420.0
553,600.0
554,600.0
555,750.0
556,795.0
557,345.0
558,260.0
559,630.0
560,460.0
561,555.0
562,330.0
563,600.0
564,600.0
565,420.0
566,785.0
567,205.0
568,150.0
569,600.0
570,205.0
571,630.0
572,875.0
573,800.0
574,630.0
575,315.0
576,690.0
577,485.0
578,460.0
579,740.0
580,330.0
581,575.0
582,475.0
583,500.0
584,630.0
585,450.0
586,815.0
587,755.0
588,315.0
589,645.0
590,815.0
591,450.0
592,630.0
593,480.0
594,600.0
595,605.0
596,600.0
597,535.0
598,590.0
599,640.0
600,680.0
601,605.0
602,600.0
603,585.0
604,235.0
605,540.0
606,525.0
607,425.0
608,715.0
609,455.0
610,285.0
611,800.0
612,460.0
613,345.0
614,420.0
615,570.0
616,315.0
617,470.0
618,605.0
619,350.0
620,555.0
621,435.0
622,600.0
623,315.0
624,315.0
625,435.0
626,315.0
627,545.0
628,670.0
629,475.0
630,630.0
631,585.0
632,330.0
633,210.0
634,450.0
635,260.0
636,675.0
637,575.0
638,605.0
639,435.0
640,495.0
641,260.0
642,420.0
643,425.0
644,570.0
645,555.0
646,425.0
647,510.0
648,500.0
649,485.0
650,455.0
651,575.0
652,600.0
653,540.0
654,335.0
655,315.0
656,600.0
657,345.0
658,455.0
659,485.0
660,800.0
661,580.0
662,285.0
663,795.0
664,470.0
665,510.0
666,420.0
667,480.0
668,560.0
669,600.0
670,640.0
671,605.0
672,600.0
673,475.0
674,860.0
675,315.0
676,670.0
677,495.0
678,605.0
679,475.0
680,580.0
681,585.0
682,480.0
683,575.0
684,565.0
685,530.0
686,360.0
687,600.0
688,420.0
689,630.0
690,315.0
691,1010.0
692,285.0
693,435.0
694,600.0
695,495.0
696,315.0
697,460.0
698,780.0
699,320.0
700,585.0
701,330.0
702,770.0
703,440.0
704,710.0
705,230.0
706,455.0
707,555.0
708,320.0
709,230.0
710,645.0
711,600.0
712,585.0
713,330.0
714,480.0
715,495.0
716,345.0
717,315.0
718,770.0
719,550.0
720,600.0
721,630.0
722,640.0
723,555.0
724,210.0
725,815.0
726,595.0
727,590.0
728,630.0
729,315.0
730,605.0
731,425.0
732,360.0
733,545.0
734,435.0
735,835.0
736,465.0
737,520.0
738,630.0
739,315.0
740,630.0
741,600.0
