nr, Score
533,360.0
534,480.0
535,470.0
536,480.0
537,495.0
538,600.0
539,435.0
540,330.0
541,475.0
542,575.0
543,380.0
544,425.0
545,360.0
546,320.0
547,530.0
548,580.0
549,510.0
550,415.0
551,435.0
552,510.0
553,485.0
554,370.0
555,570.0
556,600.0
557,400.0
558,740.0
559,420.0
560,560.0
561,535.0
562,230.0
563,390.0
564,370.0
565,480.0
566,415.0
567,350.0
568,695.0
569,330.0
570,515.0
571,430.0
572,330.0
573,580.0
574,330.0
575,580.0
576,500.0
577,450.0
578,505.0
579,340.0
580,525.0
581,550.0
582,540.0
583,525.0
584,515.0
585,600.0
586,545.0
587,510.0
588,580.0
589,555.0
590,645.0
591,440.0
592,480.0
593,375.0
594,480.0
595,735.0
596,405.0
597,515.0
598,435.0
599,445.0
600,520.0
601,420.0
602,500.0
603,600.0
604,525.0
605,435.0
606,475.0
607,540.0
608,445.0
609,575.0
610,635.0
611,540.0
612,480.0
613,570.0
614,400.0
615,745.0
616,450.0
617,450.0
618,690.0
619,545.0
620,570.0
621,495.0
622,410.0
623,630.0
624,370.0
625,345.0
626,555.0
627,360.0
628,545.0
629,360.0
630,370.0
631,375.0
632,450.0
633,470.0
634,450.0
635,375.0
636,360.0
637,580.0
638,495.0
639,370.0
640,360.0
641,605.0
642,460.0
643,500.0
644,520.0
645,515.0
646,485.0
647,390.0
648,280.0
649,430.0
650,525.0
651,510.0
652,570.0
653,580.0
654,490.0
655,685.0
656,420.0
657,710.0
658,450.0
659,365.0
660,500.0
661,430.0
662,370.0
663,480.0
664,430.0
665,605.0
666,465.0
667,650.0
668,560.0
669,495.0
670,330.0
671,425.0
672,405.0
673,710.0
674,525.0
675,600.0
676,540.0
677,490.0
678,525.0
679,360.0
680,450.0
681,430.0
682,360.0
683,360.0
684,280.0
685,505.0
686,550.0
687,370.0
688,470.0
689,445.0
690,370.0
691,600.0
692,480.0
693,575.0
694,515.0
695,390.0
696,320.0
697,405.0
698,500.0
699,530.0
700,450.0
701,360.0
702,420.0
703,475.0
704,810.0
705,500.0
706,570.0
707,540.0
708,495.0
709,575.0
710,480.0
711,425.0
712,525.0
713,370.0
714,775.0
715,565.0
716,775.0
717,540.0
718,500.0
719,410.0
720,455.0
721,330.0
722,600.0
