nr, Score
533,495.0
534,810.0
535,390.0
536,215.0
537,845.0
538,610.0
539,285.0
540,315.0
541,580.0
542,520.0
543,295.0
544,555.0
545,245.0
546,780.0
547,735.0
548,600.0
549,600.0
550,810.0
551,605.0
552,210.0
553,575.0
554,405.0
555,610.0
556,225.0
557,600.0
558,545.0
559,600.0
560,575.0
561,200.0
562,155.0
563,440.0
564,515.0
565,470.0
566,440.0
567,605.0
568,450.0
569,550.0
570,200.0
571,570.0
572,555.0
573,305.0
574,515.0
575,500.0
576,605.0
577,580.0
578,460.0
579,425.0
580,460.0
581,395.0
582,420.0
583,395.0
584,605.0
585,200.0
586,600.0
587,435.0
588,560.0
589,685.0
590,540.0
591,585.0
592,350.0
593,600.0
594,605.0
595,385.0
596,540.0
597,295.0
598,610.0
599,600.0
600,530.0
601,455.0
602,600.0
603,525.0
604,535.0
605,445.0
606,510.0
607,530.0
608,410.0
609,585.0
610,255.0
611,545.0
612,425.0
613,925.0
614,440.0
615,605.0
616,675.0
617,490.0
618,310.0
619,295.0
620,580.0
621,560.0
622,555.0
623,365.0
624,300.0
625,570.0
626,410.0
627,420.0
628,485.0
629,540.0
630,470.0
631,600.0
632,310.0
633,600.0
634,725.0
635,510.0
636,305.0
637,265.0
638,350.0
639,480.0
640,315.0
641,550.0
642,455.0
643,465.0
644,535.0
645,570.0
646,605.0
647,525.0
648,265.0
649,490.0
650,790.0
651,605.0
652,530.0
653,520.0
654,555.0
655,215.0
656,600.0
657,470.0
658,510.0
659,290.0
660,770.0
661,405.0
662,530.0
663,295.0
664,340.0
665,600.0
666,910.0
667,600.0
668,420.0
669,540.0
670,500.0
671,800.0
672,480.0
673,485.0
674,630.0
675,460.0
676,190.0
677,545.0
678,455.0
679,725.0
680,780.0
681,255.0
682,515.0
683,575.0
684,440.0
685,410.0
686,710.0
687,570.0
688,200.0
689,520.0
690,545.0
691,555.0
692,245.0
693,1170.0
694,605.0
695,800.0
696,740.0
697,490.0
698,500.0
699,500.0
700,525.0
701,365.0
702,735.0
703,465.0
704,465.0
705,575.0
706,225.0
707,490.0
708,610.0
709,450.0
710,595.0
711,220.0
712,125.0
713,500.0
714,395.0
715,580.0
716,605.0
717,500.0
718,520.0
719,360.0
720,390.0
721,390.0
722,590.0
723,595.0
724,550.0
725,600.0
726,605.0
727,600.0
728,545.0
729,575.0
730,585.0
731,660.0
732,580.0
733,405.0
734,630.0
735,635.0
736,665.0
737,300.0
738,800.0
739,260.0
740,575.0
741,610.0
742,600.0
743,630.0
744,600.0
745,525.0
746,205.0
747,335.0
748,490.0
749,605.0
750,255.0
751,605.0
752,495.0
753,95.0
754,380.0
755,475.0
756,480.0
757,495.0
758,470.0
759,470.0
760,785.0
761,395.0
762,600.0
763,410.0
764,305.0
765,720.0
766,575.0
767,470.0
768,395.0
769,720.0
770,605.0
771,745.0
772,445.0
773,490.0
774,355.0
775,585.0
776,600.0
777,470.0
778,455.0
779,800.0
780,500.0
781,570.0
782,490.0
783,600.0
784,495.0
785,550.0
786,800.0
787,570.0
788,720.0
