1,485.0
2,320.0
3,485.0
4,520.0
5,545.0
6,315.0
7,335.0
8,400.0
9,575.0
10,335.0
11,295.0
12,360.0
13,510.0
14,295.0
15,580.0
16,315.0
17,255.0
18,470.0
19,500.0
20,530.0
21,670.0
22,420.0
23,570.0
24,515.0
25,465.0
26,380.0
27,495.0
28,380.0
29,555.0
30,400.0
31,565.0
32,525.0
33,570.0
34,470.0
35,175.0
36,260.0
37,365.0
38,275.0
39,355.0
40,365.0
41,335.0
42,525.0
43,495.0
44,380.0
45,490.0
46,315.0
47,230.0
48,285.0
49,340.0
50,515.0
51,285.0
52,425.0
53,460.0
54,515.0
55,510.0
56,490.0
57,720.0
58,255.0
59,320.0
60,470.0
61,335.0
62,540.0
63,695.0
64,540.0
65,405.0
66,350.0
67,440.0
68,395.0
69,680.0
70,335.0
71,425.0
72,505.0
73,310.0
74,600.0
75,575.0
76,295.0
77,300.0
78,470.0
79,225.0
80,470.0
81,485.0
82,540.0
83,255.0
84,335.0
85,495.0
86,490.0
87,395.0
88,485.0
89,445.0
90,575.0
91,515.0
92,495.0
93,555.0
94,405.0
95,345.0
96,460.0
97,320.0
98,460.0
99,495.0
100,375.0
101,525.0
102,370.0
103,385.0
104,320.0
105,585.0
106,300.0
107,530.0
108,285.0
109,665.0
110,510.0
111,490.0
112,785.0
113,450.0
114,420.0
115,260.0
116,230.0
117,360.0
118,405.0
119,525.0
120,420.0
121,470.0
122,570.0
123,545.0
124,330.0
125,445.0
126,520.0
127,425.0
128,360.0
129,805.0
130,545.0
131,330.0
132,170.0
133,260.0
134,505.0
135,250.0
136,315.0
137,800.0
138,385.0
139,420.0
140,450.0
141,395.0
142,470.0
143,570.0
144,335.0
145,330.0
146,600.0
147,330.0
148,495.0
149,350.0
150,335.0
151,425.0
152,570.0
153,425.0
154,425.0
155,465.0
156,455.0
157,530.0
158,435.0
159,255.0
160,545.0
161,335.0
162,475.0
163,335.0
164,315.0
165,435.0
166,205.0
167,560.0
168,330.0
169,525.0
170,480.0
171,260.0
172,295.0
173,475.0
174,525.0
175,265.0
176,365.0
177,540.0
178,315.0
179,495.0
180,450.0
181,770.0
182,465.0
183,585.0
184,260.0
185,285.0
186,260.0
187,275.0
188,600.0
189,575.0
190,470.0
191,320.0
192,440.0
193,515.0
194,290.0
195,380.0
196,540.0
